year,nonhost
1978,0.918888509
1979,-0.385268122
1980,1.246289974
1981,2.82334606
1982,0.910454324
1983,2.214373914
1984,3.518339834
1985,-0.056099338
1986,-0.151609255
1987,-0.089822899
1988,-1.732598668
1989,-1.675869673
1990,0.711392566
1991,0.385641447
1992,0.623717308
1993,2.293469812
1994,0.097660352
1995,0.060916383
1996,1.775271323
1997,2.361950934
1998,3.975993716
1999,-0.04075238
2000,-0.503959196
2001,-2.638835878
2002,-2.216505709
2003,-2.10803582
2004,-1.050982421
2005,-0.624243168
2006,-2.294464396
2007,-2.525664289
2008,-1.952618292
2009,-1.232557232
2010,0.626295744
2011,0.480033829
2012,2.138185062
2013,2.518245954
2014,1.765951075
