,SMD01,SMD02,SMD03,SMD04,SMD05,SMD06,SMD07,SMD08,SMD09,SMD10,SMD11,SMD12,SMD13,SMD14,SMD15,SMD16,SMD17,SMD18
1881,1.424875081,1.325024779,1.020662928,1.239994747,1.404946022,1.393223904,1.194691298,1.245929989,1.258503038,1.28895884,1.081405959,1.206258498,NA,1.600558923,NA,NA,1.017477283,NA
1882,1.672576405,1.411800082,0.909105943,1.221145932,1.262566626,1.141417734,1.038310856,1.093870673,1.141355497,1.152582081,1.039068783,1.078246715,NA,1.529129555,NA,NA,0.948148829,NA
1883,1.077610877,1.049693449,0.739029068,0.846867892,0.936823706,0.942595055,0.861600229,0.754441983,0.900936245,0.93548129,0.939502907,0.734472039,NA,1.213459217,NA,NA,0.680632983,NA
1884,0.622335194,0.330828264,0.952306691,0.659962586,0.522713839,0.915952383,0.888133239,0.634859544,0.93737299,0.464333562,0.483742191,0.496159177,NA,0.723014572,NA,0.603587283,0.77201585,NA
1885,1.114422759,0.903146854,1.272623251,1.367880695,1.089297546,1.447599314,1.018892879,1.235788888,1.394443455,0.789501724,1.079944404,0.90001896,NA,1.07077843,NA,1.256165768,1.331933862,NA
1886,0.795945149,0.825698286,0.806710963,1.007022183,1.037475996,0.971668099,0.919159007,1.068006326,1.017831967,0.851861564,0.955593878,0.813118044,NA,1.001624329,NA,0.940058665,1.044061698,NA
1887,0.824862793,0.831399798,1.088185717,0.845575926,1.085720456,1.090682261,1.059525194,1.414423602,1.249211985,1.055069348,0.997118674,0.783714244,NA,1.128503159,NA,0.685370734,1.048668306,NA
1888,0.793351656,0.908822371,1.152976268,1.139685985,1.30001102,1.246505392,1.249937848,1.207754071,1.11170804,1.044012137,1.186676148,1.068868725,NA,1.2036541,NA,0.808753643,1.193669529,NA
1889,0.74173448,0.645460803,0.567415637,0.624157474,0.544904743,0.674235031,0.602959496,0.761232925,0.728423519,0.478174964,0.5450291,0.490768512,NA,0.705723105,NA,0.514353211,0.532991397,NA
1890,0.639477134,0.454541135,0.811733919,0.463871533,0.59839173,1.039901092,0.651192912,0.734333986,0.726765912,0.5408712,0.634373929,0.45871291,NA,0.441104849,NA,0.668722862,0.77951094,NA
1891,1.119182514,0.863778466,0.977244062,0.815861937,0.871529091,1.003437593,0.896474525,0.762639179,0.866561461,1.131367001,0.810371207,0.728662076,NA,0.766585596,NA,0.784204168,1.093438854,NA
1892,0.922261951,0.847025993,0.871861599,0.729636765,0.920554497,0.925897675,0.806099605,0.865410866,0.77325436,1.266472605,0.712659875,0.794964842,NA,0.853636727,NA,0.589045679,1.05956005,NA
1893,0.921397611,0.853616963,0.834660846,0.790324707,1.021038661,1.191245233,0.900428647,0.93828755,0.743829844,0.887394304,0.943828732,0.850898943,NA,0.886399647,NA,0.913757091,1.089845832,NA
1894,0.905781256,0.904160437,1.23200331,1.026529243,0.977837064,1.052976013,0.956348399,1.312782338,0.940199564,0.870157489,1.180027555,0.999690826,NA,0.833984606,NA,0.743473346,1.22215544,NA
1895,1.085942429,0.971298158,1.117948641,0.872010272,1.08444655,1.10386368,0.95431247,1.116605582,0.998113184,0.877624457,0.996110972,1.220870791,NA,1.00292401,NA,0.707469079,1.048186018,NA
1896,0.831567364,0.750509511,0.852225556,0.844746123,0.873700941,0.875120521,0.886418921,0.977049478,0.930094144,0.735844799,0.994254795,1.205092961,NA,0.863911153,NA,0.45694544,0.800911137,NA
