,MPD01,MPD02,MPD03,MPD04,MPD05,MPD06,MPD07,MPD08,MPD09,MPD10,MPD11,MPD12,MPD14,MPD15,MPD16,SMD01,SMD02,SMD03,SMD04,SMD05,SMD06,SMD07,SMD08,SMD09,SMD10,SMD11,SMD12,SMD13,SMD14,SMD15,SMD16,SMD17,SMD18,TMD01,TMD02,TMD03,TMD04,TMD05,TMD06,TMD07,TMD08,TMD09,TMD10,TMD11,TMD12,TMD13,TMD14,TMD15,TMD16,TMD17,TMD18,TMD19,TMD20,VLD01,VLD02,VLD03,VLD04,VLD05,VLD06,VLD07,VLD08,VLD09,VLD10,VLD11,VLD12,VLD13,VLD14,VLD15
1925,0.779376825,0.683942137,0.706252595,0.959247802,1.012829405,1.013131881,0.786366963,0.526961709,0.801514626,0.975066497,1.01087141,0.778805875,0.690248476,0.467624826,0.85454625,1.440807095,1.08881033,0.705007981,0.980573767,1.089701976,0.937727488,0.82125156,0.792157955,0.674987425,0.619283213,1.077777154,0.916329959,0.867833658,0.725074885,1.131896058,1.107847416,0.783942002,1.701621097,0.689930778,0.775536165,0.994058099,1.271882367,1.054027596,0.814567011,1.031618446,1.007541711,0.783990644,1.124000993,0.958938515,0.918361481,0.762541085,1.183069172,0.907957332,0.891061074,0.99095002,1.047546033,1.411047813,NA,1.102141659,0.902124315,0.839831657,0.937788355,0.60288723,1.006519901,0.863989843,0.798947425,0.753211442,0.708346882,0.695021763,0.452410605,0.714034185,0.652044634,0.678656716
1926,0.713650634,0.555304877,0.604873561,0.713117969,0.73225674,0.686328511,0.44035215,0.640619377,0.467161644,0.524897498,0.897073208,0.641149676,0.450287504,0.491218963,0.413479356,0.663336717,0.603107132,0.463741843,0.525815,0.488979551,0.413355725,0.549283902,0.354954574,0.451293666,0.286285304,0.477641938,0.530778118,0.674485426,0.438802902,0.646108958,0.607178139,0.385304656,0.710186466,0.56898632,0.456907623,0.79061426,0.474883314,0.645145673,0.742811537,0.738864438,0.74988453,0.648814611,0.671723143,0.781467208,0.680392834,0.491839637,0.631376622,0.581194993,0.644589461,0.437164087,0.687029997,0.609275441,NA,0.706057352,0.531675499,0.432781996,0.576967981,0.473148103,0.626392661,0.678078779,0.358288383,0.60582218,0.657942617,0.681003618,0.433735537,0.508427424,0.456462278,0.389703743
1927,0.810204761,0.688316989,0.620126647,0.862612962,0.698689033,1.044189891,0.768489844,0.898437605,1.13497037,0.716502363,1.170955101,0.72616608,0.790101454,0.772754131,0.726898112,1.014410847,0.872066821,0.790550228,0.769094328,1.027532811,0.825526935,0.862576612,0.901321933,0.804083893,0.613403423,0.857076276,0.845919094,1.105432076,0.796150428,1.149392357,1.06187477,0.698531958,1.362424932,0.759183042,0.604298171,0.874886804,0.810078343,0.952985528,0.887031738,0.927418627,0.942256832,0.91175569,0.975180014,1.10067728,0.88018721,1.007486765,1.034316182,0.997837046,0.794160493,0.579426212,0.718604235,0.968418001,NA,1.41269714,1.065934519,0.667992749,0.726966251,0.725999423,1.050588566,0.865747515,0.983286417,1.012029506,0.985401594,1.048995002,0.755996369,0.913146805,0.778829554,0.816831217
1928,0.901752465,0.980762893,0.912454259,1.109200785,0.976553961,1.507466088,1.291165648,1.117178398,0.639218461,1.164443948,1.259770512,0.859731333,1.164485172,0.96070625,1.261433849,1.31197872,1.074778541,1.151810268,1.215215343,1.108182542,1.013476506,1.075905963,0.987430156,1.105798638,0.805018818,0.862638432,1.082675264,1.28149365,1.150741826,1.320081648,1.133131534,0.781030182,1.353631343,0.924801712,0.945525811,1.058270479,0.970490556,1.177133826,1.019748641,1.277731895,1.267490186,1.128882266,0.903026239,1.414157997,0.734873945,0.918592799,1.168877536,1.247192952,0.9322119,1.715044512,1.061244164,0.749896959,NA,1.869293063,1.30570131,0.629997316,0.825809407,0.747763144,1.254248738,0.86215073,1.138225873,1.252047635,1.069308896,1.18878516,0.812509411,1.191213024,0.628649479,0.718425422
1929,0.657088999,0.748773968,0.791256483,0.601129374,0.502086694,0.907578292,0.817507296,0.69779352,0.638774138,0.564346946,0.659578891,0.571482244,0.653724636,0.595455228,0.701524874,0.784450274,0.745729986,0.660088819,0.647811139,0.781383891,0.56363555,0.622847935,0.682365392,0.697199385,0.646784775,0.68685032,0.572234954,0.849971637,0.643587702,0.745590269,0.681747047,0.47761453,0.932686994,0.794165183,0.753526854,0.881332936,0.746437609,0.826004356,0.688045042,0.87403685,0.96291222,0.952933215,0.903032678,0.954803136,0.580860205,0.995839948,0.787023288,0.793408448,0.854416167,1.012271688,0.830937597,0.686798383,NA,0.663026059,0.763001711,0.363974442,0.431096478,0.650148367,0.563728601,0.733556535,0.488890313,0.48972436,0.423098461,0.542358451,0.357662362,0.523650273,0.472283504,0.608891472
1930,0.445182434,0.499764705,0.341312246,0.335654715,0.186434862,0.351187465,0.330355761,0.514679462,0.049062197,0.129341745,0.190836489,0.260430145,0.464794554,0.291804903,0.381239461,0.385678441,0.547942072,0.37872386,0.29349682,0.41564027,0.35310804,0.427841773,0.351496969,0.490381676,0.198213987,0.251892199,0.373383495,0.833204437,0.330423455,0.559224543,0.30517185,0.263567403,1.003662527,0.746410974,0.678084914,0.659161369,0.642761153,0.600071749,0.8137782,0.694802162,0.679603509,0.637575716,0.746701045,0.854329294,0.451952581,0.886134504,0.641776738,0.692989054,0.659675796,0.827164372,0.567721835,0.507919764,NA,0.117346803,0.519958417,0.196991462,0.311166876,0.122244037,0.134652941,0.040202525,0.17739122,0.062706055,0.600158182,0.482273475,0.01120335,0.000520902,0.053409559,0.351196706
1931,0.637695923,0.534021591,0.771696286,0.680655581,0.613609074,0.895952071,0.468568311,0.732597275,0.475682121,0.657782885,0.751246369,0.516197382,0.351623846,0.427826163,0.562763574,0.512512572,0.705987058,0.526310866,0.558192016,0.561777378,0.282909168,0.591390554,0.410706836,0.501030532,0.477465212,0.495112656,0.532072855,0.931255782,0.432965481,0.714857119,0.673730352,0.451551334,0.771632652,0.626255791,0.545609016,0.520939575,0.507203113,0.427404926,0.734350727,0.642970977,0.686184547,0.457187008,0.674486076,0.912477254,0.351145507,0.312266178,0.535292452,0.50910559,0.657122216,0.36501479,0.521963605,0.45841944,NA,0.257768657,0.472979765,0.224960619,0.288506281,0.450237932,0.331113402,0.169167276,0.256683848,0.34450472,0.467485818,0.40566535,0.088919908,0.184626757,0.26075403,0.491520248
1932,0.777993644,0.792411315,0.701091574,0.606874314,0.562973492,0.894754309,0.659671736,0.987260729,0.87053228,0.604862329,0.778449238,0.560120471,0.496655734,0.53020475,0.719530397,0.848499713,0.936779731,0.613988251,0.689128534,0.768810991,0.473936039,0.741961899,0.691109827,0.700301954,0.744740686,0.65321776,0.792095562,1.010987441,0.706032262,0.873379323,0.859875794,0.683406933,1.126480086,0.716257551,0.656623358,0.701665018,0.6485334,0.951221806,0.728358984,0.622611421,0.870080272,0.785216233,1.018731817,0.799589946,0.690787821,0.892731954,0.703019339,0.592991125,0.744016393,0.394456627,0.705402333,0.680415915,NA,0.765951078,0.676064954,0.238908485,0.267714974,0.505184515,0.463529622,0.349553988,0.362147235,0.525695824,0.665957573,0.50690719,0.152928421,0.725416644,0.474832652,0.629283081
1933,0.648158266,0.605865269,0.664213205,0.690017218,0.512384667,0.596075856,0.44606158,1.045369509,0.656650605,0.61120997,0.700146316,0.83601939,0.641038264,0.767328318,1.136869429,0.692739332,0.790146815,0.781783551,0.491913283,0.840264391,0.501458242,1.017691899,0.691635571,0.702382283,0.622334043,0.859775785,0.767254384,0.982727694,0.63789631,0.831868052,0.665906893,0.640734413,0.845107889,0.790199464,0.733611415,0.813629892,0.801289475,0.860568824,0.705265517,0.77019507,0.797656908,0.796246844,0.686806951,0.731257541,0.71547642,0.819837707,0.646114356,0.683851412,0.837809911,0.371309599,0.57714513,0.55105736,NA,0.678243479,0.51008127,0.222453713,0.258625576,0.41689132,0.450806537,0.28998208,0.289946227,0.730078605,0.610224933,0.580620484,0.221004605,0.833085527,0.426150886,0.643990813
1934,0.79041732,0.78170914,0.556286236,0.806716868,0.617054755,0.727828584,0.446574613,0.923226477,0.364516265,0.586414092,1.04361065,0.711172583,0.490379233,0.981557112,1.094903067,0.642291548,0.666699744,0.655105034,0.473099736,0.62087685,0.43125916,0.771207588,0.467753729,0.532471253,0.461020886,0.570442876,0.778154749,0.959817717,0.592358873,0.750148979,0.542286408,0.591594972,0.592196465,0.84253552,0.880703274,0.936800375,0.795900006,0.959544069,0.979118849,0.855216969,1.090488177,0.743214937,0.650001336,0.950728343,0.699580695,0.736536278,0.698057794,0.830025858,0.772702414,0.668676921,0.67480982,0.538171931,NA,0.592294813,0.470832363,0.256491402,0.324551376,0.302457291,0.484595119,0.244546639,0.375566774,0.457950079,0.652452264,0.746230275,0.230015457,0.547165936,0.398279872,0.545264133
